Year;Sub_Div;RECT;Area;Age1;Age2;Age3;Age4;Age5;Age6;Age7;Age8+
2004.00;26;39H0;881.60;8352.70;128.80;29.20;0.00;23.00;0.00;10.70;0.00
2004.00;26;40G8;1013.00;1003.22;1601.70;806.43;679.30;86.27;85.05;90.83;2.44
2004.00;26;40G9;1013.00;8871.60;2344.90;1985.60;732.30;703.90;431.50;437.80;311.30
2004.00;26;40H0;1012.10;9354.80;450.90;239.10;26.30;117.60;0.00;99.10;33.40
2004.00;26;41G8;1000.00;687.85;1200.34;458.35;521.58;63.87;61.86;69.97;4.01
2004.00;26;41G9;1000.00;6309.20;2872.30;756.80;239.50;810.00;43.10;311.20;292.10
2004.00;26;41H0;953.30;11532.50;2145.10;588.00;97.10;176.10;0.00;654.30;290.80
2004.00;27;42G7;986.90;348.22;285.73;83.01;266.99;134.89;117.45;16.39;69.06
2004.00;27;43G7;913.80;1584.17;1173.12;149.25;428.56;245.96;172.59;20.01;118.40
2004.00;27;44G7;960.50;3387.79;1588.92;127.61;361.19;169.22;111.28;10.43;72.61
2004.00;28_2;42G8;945.40;562.94;1327.40;51.46;127.45;32.92;74.46;26.91;0.00
2004.00;28_2;42G9;986.90;11439.10;2884.90;67.30;64.40;291.30;16.10;174.60;88.80
2004.00;28_2;42H0;968.50;1564.90;3358.20;979.90;212.20;509.60;17.20;618.70;391.60
2004.00;28_2;43H0;973.70;4567.50;5864.10;382.40;218.40;939.40;0.00;710.80;1153.10
2004.00;28_2;43H1;412.70;626.10;1518.20;260.20;24.30;300.70;85.00;150.40;72.90
2004.00;28_2;44H0;960.50;12166.10;7379.00;431.00;27.50;1552.00;31.30;679.30;443.70
2004.00;28_2;44H1;824.60;3224.30;1544.80;40.80;3.80;70.60;13.30;93.90;199.10
2005.00;24;38G2;832.90;16.60;85.90;32.20;12.00;3.80;5.10;0.00;1.50
2005.00;24;38G3;865.70;98.40;509.60;190.70;71.30;22.40;29.90;0.00;8.90
2005.00;24;38G4;1034.80;4.00;41.90;13.30;2.80;0.80;1.60;0.00;0.20
2005.00;24;39G2;406.10;31.30;162.00;60.60;22.70;7.10;9.50;0.00;2.80
2005.00;24;39G3;765.00;24.50;127.10;47.60;17.80;5.60;7.50;0.00;2.20
2005.00;24;39G4;524.80;110.90;430.40;147.10;35.70;12.70;14.90;0.00;3.00
2005.00;25;37G5;642.20;1.20;25.80;19.20;11.60;9.30;5.30;2.90;2.30
2005.00;25;38G5;1035.70;12.00;315.20;230.80;157.70;118.30;67.60;36.10;32.80
2005.00;25;38G6;940.20;4.60;93.90;62.70;28.90;14.30;11.00;8.00;4.40
2005.00;25;39G4;287.30;23.10;280.50;173.80;108.90;93.20;47.10;25.60;22.10
2005.00;25;39G5;979.00;451.90;4867.70;2881.70;1117.90;564.60;377.90;275.10;171.20
2005.00;25;39G6;1026.00;111.70;1678.50;1056.30;441.10;187.30;139.30;111.70;63.80
2005.00;25;39G7;1026.00;148.10;1007.70;419.00;105.40;26.00;19.10;17.60;9.70
2005.00;25;40G4;677.20;8.60;203.80;149.90;82.80;41.90;28.70;22.80;13.70
2005.00;25;40G5;1012.90;234.20;1826.60;878.60;358.10;208.60;121.10;71.40;60.60
2005.00;25;40G6;1013.00;260.70;2285.00;1089.00;319.40;93.80;73.90;64.30;33.70
2005.00;25;41G6;764.40;628.30;5572.70;2069.10;465.90;53.10;64.40;81.40;23.80
2005.00;26;38G9;918.20;69.44;3499.40;980.15;196.02;17.69;37.42;8.96;40.07
2005.00;26;39G8;1026.00;44.34;2898.53;855.35;340.53;8.30;87.19;0.00;30.96
2005.00;26;39G9;1026.00;127.26;3074.30;639.24;248.12;7.54;51.09;9.78;21.61
2005.00;26;39H0;881.60;312.54;653.26;183.94;25.02;3.64;18.47;2.16;0.00
2005.00;26;40G8;1013.00;39.90;1450.11;908.92;424.31;62.41;165.95;12.13;130.04
2005.00;26;40G9;1013.00;37.33;1851.47;1282.33;237.28;51.90;119.72;10.49;63.85
2005.00;26;40H0;1012.10;41.53;2261.22;596.82;103.40;2.06;17.70;0.00;16.45
2005.00;26;41G8;1000.00;36.52;1775.68;357.36;111.15;40.23;29.00;40.56;76.97
2005.00;26;41G9;1000.00;2.96;425.54;67.41;55.31;30.84;36.16;20.06;63.79
2005.00;26;41H0;953.30;8.25;1271.47;139.77;28.14;58.11;31.40;35.70;48.20
2005.00;28_2;42G8;945.40;17.41;2343.43;619.81;38.30;90.53;184.55;163.66;198.48
2005.00;28_2;42G9;986.90;54.45;3752.85;589.15;230.83;156.98;75.14;81.15;94.34
2005.00;28_2;42H0;968.50;12.41;2646.71;375.15;86.61;132.37;76.72;53.81;71.83
2005.00;28_2;43G9;973.70;44.56;3973.00;668.43;171.49;169.90;150.85;78.18;71.01
2005.00;28_2;43H0;973.70;69.34;3533.79;321.79;108.34;79.03;62.95;23.42;71.47
2005.00;28_2;43H1;412.70;145.78;930.11;44.59;17.15;11.43;0.00;0.00;17.15
2005.00;28_2;44G9;876.60;161.15;5010.27;344.87;96.72;85.84;86.02;86.02;86.37
2005.00;28_2;44H0;960.50;50.03;3742.19;302.32;4.62;125.98;23.10;21.30;75.95
2005.00;28_2;44H1;824.60;0.00;3224.54;276.71;37.65;131.77;37.65;56.47;56.47
2005.00;28_2;45G9;924.50;93.67;6135.18;327.83;31.22;124.89;31.22;62.44;187.33
2005.00;28_2;45H0;947.20;64.26;4109.00;376.17;57.84;87.38;18.63;63.15;110.26
2005.00;28_2;45H1;827.10;0.00;1243.55;106.71;14.52;50.82;14.52;21.78;21.78
