"ANNUS";"Sub_Div";"RECT";"Area";"0";"1";"2";"3";"4";"5";"6";"7";"8"
1992,00;"29";"46G9";933,80;2,65;35,05;169,76;261,61;73,22;25,90;7,57;1,77;1,14
1992,00;"29";"46H0";933,80;21,01;101,14;251,65;316,55;116,65;36,55;9,91;3,08;1,49
1992,00;"29";"47G9";876,20;96,28;308,44;382,10;211,17;65,69;16,40;1,07;2,85;0,00
1992,00;"29";"47H0";920,30;36,94;153,87;353,64;413,26;118,07;40,81;9,64;3,46;1,42
1992,00;"29";"47H1";920,30;35,80;149,14;342,76;400,55;114,43;39,55;9,34;3,35;1,38
1993,00;"21";"41G0";108,10;0,95;0,90;0,19;0,28;0,19;0,07;0,06;0,00;0,00
1993,00;"21";"41G1";946,80;30,44;28,64;6,17;8,86;6,04;2,39;1,85;0,06;0,00
1993,00;"21";"41G2";432,30;0,75;0,44;0,14;0,61;0,51;0,66;0,24;0,29;0,09
1993,00;"21";"42G1";884,20;53,71;105,95;65,46;33,16;15,76;2,52;2,36;0,37;0,00
1993,00;"21";"42G2";606,80;8,23;0,07;4,77;2,38;1,19;0,00;0,00;0,00;0,00
1993,00;"21";"43G1";699,00;180,15;30,05;7,83;2,40;1,03;0,30;0,07;0,19;0,00
1993,00;"21";"43G2";107,00;46,86;1,33;0,37;0,23;0,16;0,02;0,02;0,00;0,00
1993,00;"22";"37G0";209,90;27,97;12,42;7,16;2,35;0,30;0,00;0,00;0,00;0,00
1993,00;"22";"37G1";723,30;116,45;68,56;44,58;24,99;4,24;0,00;0,47;0,00;0,00
1993,00;"22";"38G0";735,30;97,77;43,40;25,02;8,23;1,05;0,00;0,00;0,00;0,00
1993,00;"22";"38G1";173,20;5,62;2,49;1,44;0,47;0,06;0,00;0,00;0,00;0,00
1993,00;"22";"39F9";159,30;12,33;10,13;2,75;0,33;0,10;0,00;0,00;0,00;0,00
1993,00;"22";"39G0";201,70;41,17;7,49;1,47;0,93;0,71;0,00;0,00;0,00;0,00
1993,00;"22";"39G1";250,00;60,01;5,58;3,79;3,79;0,29;0,00;0,00;0,00;0,00
1993,00;"22";"40F9";51,30;0,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1993,00;"22";"40G0";538,10;1,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1993,00;"22";"40G1";174,50;0,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1993,00;"22";"41G0";173,10;0,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1993,00;"23";"39G2";130,90;3,55;0,19;0,24;0,81;0,78;0,38;0,27;0,07;0,07
1993,00;"23";"40G2";164,00;1,62;3,70;14,52;38,80;14,13;13,79;8,07;2,91;1,52
1993,00;"23";"41G2";72,30;2,46;0,99;0,15;0,11;0,02;0,02;0,00;0,00;0,00
1993,00;"24";"37G2";192,40;19,75;7,00;7,38;9,36;7,83;1,46;0,20;0,47;0,03
1993,00;"24";"37G3";167,70;0,80;0,36;0,44;1,43;1,45;1,10;0,76;0,34;0,40
1993,00;"24";"38G2";832,90;109,62;20,51;26,15;40,40;33,46;8,93;3,06;2,21;0,49
1993,00;"24";"38G3";865,70;96,95;51,33;69,72;122,86;108,82;36,64;15,45;8,13;4,88
1993,00;"24";"38G4";1034,80;35,19;58,72;70,15;89,05;81,37;19,30;5,87;4,81;1,82
